count,quadratic_cost
904,0.53841287
905,0.5396047
906,0.5407979
907,0.54199237
908,0.54318815
909,0.54438525
910,0.54558367
911,0.54678345
912,0.5479845
913,0.5491869
914,0.55039054
915,0.55159557
916,0.5528019
917,0.55400956
918,0.5552185
919,0.5564288
920,0.55764043
921,0.5588533
922,0.5600676
923,0.5612831
924,0.5625
925,0.5637182
926,0.5649377
927,0.56615853
928,0.56738067
929,0.5686041
930,0.5698289
931,0.571055
932,0.57228243
933,0.5735112
934,0.5747412
935,0.57597256
936,0.57720524
937,0.5784393
938,0.5796746
939,0.5809112
940,0.5821492
941,0.58338845
942,0.58462906
943,0.585871
944,0.58711416
945,0.5883587
946,0.5896046
947,0.5908518
948,0.59210026
949,0.5933501
950,0.5946012
951,0.5958537
952,0.5971074
953,0.5983625
954,0.5996189
955,0.6008766
956,0.6021357
957,0.60339606
958,0.6046577
959,0.60592073
960,0.607185
961,0.60845065
962,0.6097176
963,0.6109859
964,0.61225545
965,0.61352634
966,0.61479855
967,0.61607206
968,0.61734694
969,0.61862314
970,0.6199006
971,0.6211794
972,0.62245953
973,0.623741
974,0.6250237
975,0.6263078
976,0.62759316
977,0.6288799
978,0.6301679
979,0.63145727
980,0.63274795
981,0.63403994
982,0.63533324
983,0.63662785
984,0.6379238
985,0.639221
986,0.64051956
987,0.6418195
988,0.6431207
989,0.6444232
990,0.64572704
991,0.6470322
992,0.6483387
993,0.64964646
994,0.65095556
995,0.652266
996,0.65357774
997,0.65489084
998,0.6562052
999,0.6575209
1000,0.6588379
1001,0.66015625
1002,0.6614759
1003,0.66279685
1004,0.6641192
1005,0.66544276
1006,0.6667677
1007,0.6680939
1008,0.6694215
1009,0.6707504
1010,0.6720806
1011,0.6734121
1012,0.6747449
1013,0.67607903
1014,0.67741454
1015,0.6787513
1016,0.6800894
1017,0.6814288
1018,0.68276954
1019,0.6841116
1020,0.68545496
1021,0.68679965
1022,0.68814564
1023,0.689493
1024,0.6908416
1025,0.6921916
1026,0.69354284
1027,0.69489545
1028,0.69624937
1029,0.6976046
1030,0.69896114
1031,0.700319
1032,0.7016782
1033,0.7030387
1034,0.70440054
1035,0.70576364
1036,0.7071281
1037,0.7084939
1038,0.709861
1039,0.7112294
1040,0.7125991
1041,0.7139701
1042,0.71534246
1043,0.7167162
1044,0.7180912
1045,0.71946746
1046,0.7208451
1047,0.72222406
1048,0.7236043
1049,0.7249859
1050,0.7263688
1051,0.72775304
1052,0.72913855
1053,0.73052543
1054,0.73191357
1055,0.73330307
1056,0.7346939
1057,0.736086
1058,0.73747945
1059,0.7388742
1060,0.74027026
1061,0.7416677
1062,0.7430664
1063,0.7444664
1064,0.7458678
1065,0.7472704
1066,0.7486744
1067,0.7500797
1068,0.75148636
1069,0.7528943
1070,0.7543035
1071,0.7557141
1072,0.757126
1073,0.7585392
1074,0.75995374
1075,0.7613696
1076,0.76278675
1077,0.7642052
1078,0.765625
1079,0.7670461
1080,0.76846856
1081,0.7698923
1082,0.77131736
1083,0.77274376
1084,0.7741715
1085,0.7756005
1086,0.7770308
1087,0.77846247
1088,0.7798954
1089,0.7813297
1090,0.7827653
1091,0.7842023
1092,0.7856405
1093,0.78708005
1094,0.78852093
1095,0.7899631
1096,0.79140663
1097,0.79285145
1098,0.79429764
1099,0.7957451
1100,0.7971939
1101,0.798644
1102,0.8000954
1103,0.8015481
1104,0.8030022
1105,0.80445755
1106,0.8059143
1107,0.8073723
1108,0.8088316
1109,0.81029224
1110,0.81175417
1111,0.81321746
1112,0.81468207
1113,0.816148
1114,0.8176152
1115,0.81908375
1116,0.82055366
1117,0.8220248
1118,0.8234973
1119,0.82497114
1120,0.8264463
1121,0.82792276
1122,0.82940054
1123,0.8308796
1124,0.83236
1125,0.83384174
1126,0.83532476
1127,0.83680916
1128,0.8382948
1129,0.8397818
1130,0.84127015
1131,0.8427598
1132,0.84425074
1133,0.845743
1134,0.8472366
1135,0.84873146
1136,0.8502277
1137,0.8517252
1138,0.8532241
1139,0.8547243
1140,0.8562257
1141,0.85772854
1142,0.85923266
1143,0.86073816
1144,0.8622449
1145,0.86375296
1146,0.8652624
1147,0.86677307
1148,0.8682851
1149,0.8697985
1150,0.87131315
1151,0.87282914
1152,0.87434644
1153,0.87586504
1154,0.877385
1155,0.87890625
1156,0.88042885
1157,0.8819527
1158,0.8834779
1159,0.88500446
1160,0.8865323
1161,0.88806146
1162,0.88959193
1163,0.8911237
1164,0.89265686
1165,0.89419127
1166,0.89572704
1167,0.8972641
1168,0.8988025
1169,0.9003422
1170,0.90188324
1171,0.9034256
1172,0.9049692
1173,0.90651417
1174,0.9080605
1175,0.9096081
1176,0.911157
1177,0.91270727
1178,0.91425884
1179,0.9158117
1180,0.9173659
1181,0.9189214
1182,0.9204783
1183,0.9220364
1184,0.9235959
1185,0.92515665
1186,0.9267188
1187,0.9282822
1188,0.92984694
1189,0.931413
1190,0.93298036
1191,0.9345491
1192,0.9361191
1193,0.9376904
1194,0.93926305
1195,0.940837
1196,0.9424123
1197,0.9439889
1198,0.94556683
1199,0.94714606
1200,0.9487266
1201,0.95030844
1202,0.95189166
1203,0.95347613
1204,0.955062
1205,0.9566491
1206,0.9582376
1207,0.95982736
1208,0.96141845
1209,0.96301085
1210,0.9646046
1211,0.96619964
1212,0.967796
1213,0.9693937
1214,0.9709927
1215,0.972593
1216,0.97419465
1217,0.9757976
1218,0.97740185
1219,0.9790074
1220,0.98061436
1221,0.98222256
1222,0.9838321
